,date,code,position_x,pl_lc_1day,pl_atr_1day,x1_x,x2_x,x3_x,x4_x,x5_x,x6_x,x7_x,x8_x,position_y,pl_lc_3day,pl_atr_3day,x1_y,x2_y,x3_y,x4_y,x5_y,x6_y,x7_y,x8_y,diff
3810,2019/05/14,6083,s,-0.75,-0.4739336492890995,0.631911532385466,0.5777554101660796,1,32,0,0,0,-0.0151246172954157,s,-1.0,-0.631911532385466,0.631911532385466,0.5777554101660796,1.0,32.0,0.0,0.0,0.0,-0.0151246172954157,-0.15797788309636657
3811,2019/07/10,6083,s,0.0592592592592592,0.3846153846153846,6.490384615384615,13.73478203953397,18,0,0,0,0,-0.0030461183900878,s,0.1629629629629629,1.0576923076923077,6.490384615384615,13.73478203953397,18.0,0.0,0.0,0.0,0.0,-0.0030461183900878,0.6730769230769231
3812,2019/08/06,6083,s,-1.0,-1.447721179624665,1.447721179624665,0.3546700579341529,1,0,0,0,0,-0.019052339518414,s,-1.0,-1.447721179624665,1.447721179624665,0.3546700579341529,1.0,0.0,0.0,0.0,0.0,-0.019052339518414,0.0
3813,2020/02/20,6083,l,-1.0,-1.376518218623482,1.376518218623482,0.8006042296072508,9,41,1,0,0,0.0113620532719107,l,-1.0,-1.376518218623482,1.376518218623482,0.8006042296072508,9.0,41.0,1.0,0.0,0.0,0.0113620532719107,0.0
3814,2020/02/25,6083,s,-0.3636363636363636,-1.0084033613445378,2.773109243697479,2.0881302104009527,11,0,4,0,0,-0.0187016232275213,s,0.1212121212121212,0.3361344537815126,2.773109243697479,2.0881302104009527,11.0,0.0,4.0,0.0,0.0,-0.0187016232275213,1.3445378151260503
3815,2020/03/02,6083,s,-1.0,-1.0059171597633136,1.0059171597633136,3.311587449518484,0,1,0,0,0,-0.0138660811920373,s,-1.0,-1.0059171597633136,1.0059171597633136,3.311587449518484,0.0,1.0,0.0,0.0,0.0,-0.0138660811920373,0.0
3816,2020/03/09,6083,s,2.409090909090909,2.345132743362832,0.9734513274336284,3.116289696138908,1,0,0,0,0,-0.0195877058759743,s,3.090909090909091,3.008849557522124,0.9734513274336284,3.116289696138908,1.0,0.0,0.0,0.0,0.0,-0.0195877058759743,0.663716814159292
3817,2020/03/10,6083,s,-1.0,-0.6625258799171843,0.6625258799171843,2.0902824104958864,1,0,0,0,0,-0.0113646747307951,s,-1.0,-0.6625258799171843,0.6625258799171843,2.0902824104958864,1.0,0.0,0.0,0.0,0.0,-0.0113646747307951,0.0
3818,2020/03/13,6083,s,0.0,0.0,0.8832807570977919,1.5046210720887243,2,0,0,0,0,-0.0202676454218106,s,-0.2857142857142857,-0.252365930599369,0.8832807570977919,1.5046210720887243,2.0,0.0,0.0,0.0,0.0,-0.0202676454218106,-0.252365930599369
3819,2020/03/17,6083,s,-1.0,-1.0240963855421683,1.0240963855421683,1.483021483021483,1,1,0,0,1,-0.0161798231271071,s,-1.0,-1.0240963855421683,1.0240963855421683,1.483021483021483,1.0,1.0,0.0,0.0,1.0,-0.0161798231271071,0.0
3820,2020/03/25,6083,l,1.8,0.9314359637774904,0.517464424320828,0.5441962881409248,2,52,0,0,0,0.0195911531669462,l,3.5,1.811125485122898,0.517464424320828,0.5441962881409248,2.0,52.0,0.0,0.0,0.0,0.0195911531669462,0.8796895213454076
3821,2020/03/27,6083,l,-1.0,-0.297029702970297,0.297029702970297,0.984872867718056,3,48,1,0,1,0.0191469412684977,l,-1.0,-0.297029702970297,0.297029702970297,0.984872867718056,3.0,48.0,1.0,0.0,1.0,0.0191469412684977,0.0
3822,2020/04/01,6083,s,-1.0,-0.3783783783783784,0.3783783783783784,0.604155753448577,2,14,1,0,1,-0.0122054172408852,s,-1.0,-0.3783783783783784,0.3783783783783784,0.604155753448577,2.0,14.0,1.0,0.0,1.0,-0.0122054172408852,0.0
3823,2020/04/07,6083,l,-1.0,-0.3689064558629776,0.3689064558629776,0.5112842021170362,3,45,0,0,0,0.0162874199921405,l,-1.0,-0.3689064558629776,0.3689064558629776,0.5112842021170362,3.0,45.0,0.0,0.0,0.0,0.0162874199921405,0.0
3824,2020/04/28,6083,l,0.0,0.0,1.1515151515151516,1.480552070263488,1,24,0,0,0,-0.0003558571354916,l,-1.0,-1.1515151515151516,1.1515151515151516,1.480552070263488,1.0,24.0,0.0,0.0,0.0,-0.0003558571354916,-1.1515151515151516
3825,2020/05/19,6083,l,-0.5,-0.990990990990991,1.981981981981982,1.168,9,11,5,0,1,0.0166779826688845,l,-0.2272727272727272,-0.4504504504504504,1.981981981981982,1.168,9.0,11.0,5.0,0.0,1.0,0.0166779826688845,0.5405405405405406
3826,2020/06/19,6083,s,-0.65,-1.2322274881516586,1.895734597156398,1.0283159463487332,9,25,8,0,1,0.0071700604684493,s,-0.6,-1.1374407582938386,1.895734597156398,1.0283159463487332,9.0,25.0,8.0,0.0,1.0,0.0071700604684493,0.09478672985782
3827,2020/07/15,6083,s,-0.7777777777777778,-1.6,2.057142857142857,5.070422535211268,4,1,2,0,1,0.010222689944353,s,-1.0,-2.057142857142857,2.057142857142857,5.070422535211268,4.0,1.0,2.0,0.0,1.0,0.010222689944353,-0.45714285714285685
3828,2020/07/29,6083,s,0.5,0.5633802816901409,1.1267605633802815,1.195104391648668,1,0,0,0,0,-0.0050089639667076,s,2.9166666666666665,3.286384976525821,1.1267605633802815,1.195104391648668,1.0,0.0,0.0,0.0,0.0,-0.0050089639667076,2.72300469483568
3829,2020/07/30,6083,s,0.25,0.3791469194312796,1.5165876777251184,2.0314735336194563,1,0,0,0,0,0.0041134771405775,s,0.0625,0.0947867298578199,1.5165876777251184,2.0314735336194563,1.0,0.0,0.0,0.0,0.0,0.0041134771405775,-0.2843601895734597
3830,2020/09/28,6083,l,-0.05,-0.0952380952380952,1.9047619047619049,1.4537107880642692,7,4,7,0,1,0.0080733922813646,l,0.75,1.4285714285714284,1.9047619047619049,1.4537107880642692,7.0,4.0,7.0,0.0,1.0,0.0080733922813646,1.5238095238095235
3831,2020/11/26,6083,l,-1.0,-1.5789473684210529,1.5789473684210529,5.365486058779201,4,0,1,0,0,-0.0015739521752786,l,-1.0,-1.5789473684210529,1.5789473684210529,5.365486058779201,4.0,0.0,1.0,0.0,0.0,-0.0015739521752786,0.0
3832,2020/11/27,6083,s,-1.0,-1.162790697674419,1.162790697674419,1.83206106870229,1,56,2,0,0,-0.0002649100455171,s,-1.0,-1.162790697674419,1.162790697674419,1.83206106870229,1.0,56.0,2.0,0.0,0.0,-0.0002649100455171,0.0
3833,2020/12/28,6083,l,-1.0,-2.654867256637168,2.654867256637168,4.892193308550186,0,50,0,1,1,0.0013009906360936,l,-1.0,-2.654867256637168,2.654867256637168,4.892193308550186,0.0,50.0,0.0,1.0,1.0,0.0013009906360936,0.0
3834,2020/12/29,6083,s,-1.0,-2.4291497975708505,2.4291497975708505,5.7925636007827785,2,0,1,0,0,0.0030665788337915,s,-1.0,-2.4291497975708505,2.4291497975708505,5.7925636007827785,2.0,0.0,1.0,0.0,0.0,0.0030665788337915,0.0
3835,2021/01/05,6083,s,-0.0714285714285714,-0.0630914826498422,0.8832807570977919,0.4880694143167028,0,1,0,0,0,-0.003925398354561,s,-0.7142857142857143,-0.6309148264984228,0.8832807570977919,0.4880694143167028,0.0,1.0,0.0,0.0,0.0,-0.003925398354561,-0.5678233438485806
3836,2021/03/01,6083,l,0.4444444444444444,0.6504065040650406,1.4634146341463414,3.18961038961039,0,60,0,1,1,0.0156542098825486,l,1.5,2.1951219512195124,1.4634146341463414,3.18961038961039,0.0,60.0,0.0,1.0,1.0,0.0156542098825486,1.5447154471544717
3837,2021/03/12,6083,s,-0.875,-0.9459459459459458,1.081081081081081,0.9260832625318608,7,7,2,0,0,0.0026051259018665,s,-1.0,-1.081081081081081,1.081081081081081,0.9260832625318608,7.0,7.0,2.0,0.0,0.0,0.0026051259018665,-0.1351351351351351
3838,2021/03/22,6083,l,-1.0,-1.5748031496062993,1.5748031496062993,2.88641425389755,16,14,8,0,0,-0.0116792902804607,l,-1.0,-1.5748031496062993,1.5748031496062993,2.88641425389755,16.0,14.0,8.0,0.0,0.0,-0.0116792902804607,0.0
3839,2021/03/31,6083,s,-0.1764705882352941,-0.2752293577981651,1.5596330275229358,1.53921568627451,16,5,4,0,0,-0.005244846718106,s,-0.1176470588235294,-0.18348623853211,1.5596330275229358,1.53921568627451,16.0,5.0,4.0,0.0,0.0,-0.005244846718106,0.0917431192660551
3840,2021/04/20,6083,l,-1.0,-1.8666666666666667,1.8666666666666667,2.6592022393282013,8,19,0,0,0,-0.0110997437458249,l,-1.0,-1.8666666666666667,1.8666666666666667,2.6592022393282013,8.0,19.0,0.0,0.0,0.0,-0.0110997437458249,0.0
